Latitude,Longitude,id,address,Flashed,Flashable
48.85821,2.35607,PA_0294,14 rue de Moussy,True,True
48.863788,2.344822,PA_0295,4 rue du Jour,False,True
48.850261,2.373484,PA_0301,44 rue de Charenton,False,True
48.879066,2.389857,PA_0302,37 rue de Belleville,False,True
48.82682,2.35075,PA_0303,24 passage Boiton,False,True
48.84271,2.35551,PA_0305,face au 49 rue Geoffroy-Saint-Hilaire,True,True
48.868685,2.389394,PA_0307,77 rue de MÃ©nilmontant,False,True
48.841443,2.225299,PA_0308,2 quai du 4 septembre,False,True
48.876904,2.282737,PA_0309,1 boulevard de l'Amiral Bruix,False,True
48.83748,2.255328,PA_0310,passerelle de la Porte de Saint-Cloud,False,True
48.83748,2.255328,PA_1335,passerelle de la Porte de Saint-Cloud,True,True
48.843579,2.330293,PA_0311,face au 5 rue BrÃ©a,False,True
48.828366,2.327061,PA_0312,parvis de Saint-Pierre de Montrouge,False,True
48.830074,2.351154,PA_0315,face au 32 boulevard Auguste Blanqui,False,True
48.827372,2.334741,PA_0316,rue des Artistes,False,True
48.827372,2.334741,PA_0940,rue des Artistes,False,True
48.83667,2.33168,PA_0317,devant la Fondation Cartier,False,True
48.836622,2.338129,PA_0320,34 rue du Faubourg Saint-Jacques,False,True
48.846537,2.342015,PA_0321,17 rue Malebranche,False,True
48.848861,2.332883,PA_0322,77 allÃ©e du SÃ©minaire,True,True
48.85437,2.384158,PA_0323,102 rue de Charonne,False,True
48.86496,2.39397,PA_0325,17 rue Robineau,False,True
48.84783,2.39293,PA_0326,10 rue de Picpus,False,True
48.87301,2.34781,PA_0327,29 rue du Faubourg PoissonniÃ¨re,False,True
48.865113,2.344234,PA_0328,40 rue Ã‰tienne Marcel,False,True
48.88652,2.36116,PA_0329,14 rue Pajol,False,True
48.878407,2.349266,PA_0330,102 rue du Faubourg PoissonniÃ¨re,False,True
48.859389,2.353003,PA_0331,2 rue Pierre au Lard,True,True
48.859626,2.38935,PA_0332,41 rue du Repos sous la plaque du cimÃ¨tiÃ¨re,False,True
48.880004,2.344263,PA_0333,39 rue Condorcet,False,True
48.84398,2.363976,PA_0334,7-13 Place Valhubert,True,True
48.882124,2.369949,PA_0335,135 boulevard de la Villette,False,True
48.890439,2.353239,PA_0336,centre d'HygiÃ¨ne Sociale,False,True
48.86541,2.39475,PA_0339,square du Docteur-Grancher,False,True
48.85356,2.35363,PA_0340,45 quai de Bourbon,False,True
48.879075,2.336928,PA_0342,19 rue LaferriÃ¨re,True,True
48.860173,2.291105,PA_0343,pont d'IÃ©na (rive droite),False,True
48.859365,2.293519,PA_0344,tunnel du quai Branly,False,True
48.84892,2.32166,PA_0345,95 rue de SÃ¨vres,False,True
48.842905,2.312245,PA_0346,16 boulevard Pasteur,False,True
48.843163,2.325474,PA_0347,passage des Ã‰pinettes,True,True
48.884037,2.356254,PA_0348,39bis boulevard de la Chapelle,False,True
48.861245,2.302593,PA_0349,7 avenue Bosquet,False,True
48.822933,2.365082,PA_0350,Ã©cole primaire de l'avenue d'Ivry,False,True
48.870021,2.394195,PA_0351,121 rue de MÃ©nilmontant,False,True
48.877675,2.358214,PA_0352,21 rue d'Alsace,False,True
48.86946,2.32475,PA_0353,sortie de mÃ©tro face au 27 boulevard de la Madeleine,False,True
48.858659,2.345915,PA_0354,13 rue Jean Lantier,True,True
48.862629,2.349708,PA_0355,4 rue de la Grande Truanderie,True,True
48.832037,2.290355,PA_0357,21 boulevard Lefebvre,False,True
48.871463,2.391285,PA_0358,14 rue de Savies,False,True
48.866424,2.332864,PA_0359,45 rue Saint-Roch,False,True
48.863935,2.331188,PA_0360,0 rue Saint-Roch,True,True
48.871724,2.364704,PA_0362,en face de Chez Prune,False,True
48.826298,2.360009,PA_0363,116 avenue de Choisy,False,True
48.83711,2.29638,PA_0364,347 rue de Vaugirard,False,True
48.839249,2.300281,PA_0365,268 rue de Vaugirard,False,True
48.8299,2.30356,PA_0366,127 rue Castagnary,False,True
48.82981,2.3017,PA_0367,108 rue Brancion,False,True
48.853404,2.385082,PA_0369,7 rue Jules VallÃ¨s,False,True
48.85037,2.38316,PA_0371,Ouest de la fontaine de Montreuil,False,True
48.85191,2.37404,PA_0372,63 rue du Faubourg Saint-Antoine,True,True
48.866061,2.378809,PA_0373,121 rue Oberkampf,False,True
48.853198,2.326541,PA_0374,29 boulevard Raspail,False,True
48.870922,2.395388,PA_0375,2 rue de l'Est,False,True
48.86167,2.362442,PA_0376,28 rue de Poitou,False,True
48.86302,2.37105,PA_0377,52 boulevard Voltaire,False,True
48.86174,2.36131,PA_0378,45 rue de Poitou,False,True
48.85881,2.35731,PA_0379,17 rue des Blancs-Manteaux,False,True
48.862947,2.309289,PA_0380,port du Gros-caillou,False,True
48.852271,2.301291,PA_0381,allÃ©e Thomy Thierry,False,True
48.869815,2.378334,PA_0384,26 rue du Moulin Joly,False,True
48.83149,2.36856,PA_0385,41 rue Dunois,False,True
48.881849,2.32087,PA_0386,croisement rue de Rome/bvd des Batignolles,False,True
48.841083,2.320092,PA_0388,Gare Montparnasse,True,True
48.879467,2.389352,PA_0389,86 rue de Botzaris,False,True
48.856021,2.386367,PA_0390,1 passage Gustave Lepeu,False,True
48.83174,2.385019,PA_0391,114 quai de Bercy,False,True
48.854565,2.342448,PA_0392,35 quai des Grands Augustins,True,True
48.854351,2.344578,PA_0394,pont Saint-Michel,True,True
48.85182,2.32449,PA_0395,14 rue Chomel,False,True
48.862668,2.35441,PA_0396,49 rue de Beaubourg,False,True
48.84742,2.365655,PA_0398,1 pont Morland,True,True
48.862586,2.302184,PA_0399,pont de l'Alma,False,True
48.862166,2.302284,PA_0400,93 quai d'Orsay,False,True
48.843999,2.354947,PA_0401,fontaine de Cuvier,True,True
48.86244,2.32015,PA_0402,quai Anantole France,False,True
48.83208,2.30289,PA_0403,porte N-E du parc George Brassens,False,True
48.869401,2.342066,PA_0404,face au 2 place de la Bourse,False,True
48.830168,2.305931,PA_0405,face au 110 rue Castagnary,False,True
48.860747,2.357133,PA_0406,4 rue de Braque,False,True
48.860102,2.360883,PA_0407,93 rue Vieille du Temple,False,True
48.868393,2.38822,PA_0410,0 rue de la Mare,False,True
48.867053,2.397994,PA_0411,68 rue Orfila,False,True
48.864799,2.393552,PA_0412,15 rue Robineau,False,True
48.869917,2.323209,PA_0413,3 boulevard Malsherbes,False,True
48.891977,2.410014,PA_0414,2 rue du 11 Novembre 1918,False,True
48.852895,2.386345,PA_0415,34 rue Titon,False,True
48.871537,2.363221,PA_0416,9 rue de Marseille,False,True
48.901461,2.344331,PA_0418,139 avenue Michelet,False,True
48.909131,2.336024,PA_0420,45 rue Anselme,False,True
48.86476,2.39571,PA_0421,71 rue des Rondeaux,False,True
48.83124,2.36918,PA_0422,32 rue Dunois,False,True
48.871812,2.309915,PA_0423,63 avenue Franklin Delano Roosevelt,False,True
48.864665,2.295582,PA_0424,13 rue de la Manutention,False,True
48.816064,2.357022,PA_0426,face au pavillon d'Italie,False,True
48.829912,2.375363,PA_0427,10 rue de Tolbiac,False,True
48.874504,2.292356,PA_0428,7 avenue de la Grande ArmÃ©e,False,True
48.876277,2.292479,PA_0429,22 avenue Carnot,True,True
48.872183,2.36513,PA_0430,le Comptoire GÃ©nÃ©ral,False,True
48.847269,2.414288,PA_0431,rond-point de la porte de Vincennes,False,True
48.871131,2.393294,PA_0432,24 rue de l'Est,False,True
48.843322,2.402278,PA_0433,33 rue de Sibuet,False,True
48.840725,2.39799,PA_0434,19 rue Lamblardie,False,True
48.860945,2.350814,PA_0436,Centre culturel de Serbie,False,True
48.877651,2.370595,PA_0437,place du Colonel Fabien,False,True
48.882949,2.385862,PA_0438,petite ceinture pont de la rue Manin,False,True
48.884036,2.32822,PA_0439,134 boulevard de Clichy,True,True
48.815533,2.356289,PA_0441,7 rue Gabriel PÃ©ri,False,True
48.87446,2.393054,PA_0442,46 Olivier MÃ©tra,False,True
48.87615,2.381094,PA_0443,entrÃ©e sud des Buttes Chaumont,False,True
48.883149,2.365842,PA_0444,14 rue Chaudron,False,True
48.880303,2.360816,PA_0445,181 rue Lafayette,False,True
48.870261,2.373237,PA_0446,174 rue Saint-Maur,False,True
48.87265,2.36377,PA_0447,Ã  l'intÃ©rieur d'Artazart,False,True
48.872148,2.365148,PA_0448,80 quai Jemmapes,False,True
48.871552,2.314716,PA_0449,73 rue du Faubourg Saint-HonorÃ©,True,True
48.86477,2.356862,PA_0450,5 rue Volta,False,True
48.853334,2.376638,PA_0451,39 rue de Charonne,False,True
48.853334,2.376638,PA_0654,39 rue de Charonne,True,True
48.852811,2.376367,PA_0452,5 passage Saint-Antoine,True,True
48.864562,2.389631,PA_0453,24 Ã  32 rue des Amandiers,False,True
48.873127,2.363638,PA_0454,Assainissement de Valmy,False,True
48.855155,2.337721,PA_0455,48 rue Mazarine,False,True
48.8646,2.294413,PA_0456,1 place d'IÃ©na,False,True
48.866403,2.390936,PA_0458,16 rue Elise Borey,False,True
48.834914,2.36825,PA_0459,mÃ©tro Chevaleret,False,True
48.834395,2.369952,PA_0460,39P rue Louise Weiss,False,True
48.861765,2.400009,PA_0461,5-7 rue Charles Renouvier,False,True
48.868378,2.347578,PA_0462,44 rue de ClÃ©ry,False,True
48.857053,2.355457,PA_0464,6 rue de la Verrerie,True,True
48.856977,2.378546,PA_0465,114 rue de la Roquette,True,True
48.868146,2.373402,PA_0466,51 rue de la Fontaine au Roi,False,True
48.871567,2.384969,PA_0467,parc de Belleville,False,True
48.86592,2.34698,PA_0468,65 rue Montorgueil,False,True
48.864784,2.345683,PA_0470,64 rue Tiquetonne,False,True
48.868821,2.390091,PA_0471,83 rue de MÃ©nilmontant,False,True
48.85904,2.371362,PA_0472,11Z rue Gaby Sylvia,False,True
48.851471,2.338006,PA_0473,3 rue Saint-Sulpice,False,True
48.880578,2.308577,PA_0474,2 rue de Prony,True,True
48.874673,2.293325,PA_0475,2 avenue de la Grande ArmÃ©e,True,True
48.87181,2.306088,PA_0476,1 rue Paul Baudry,False,True
48.854338,2.415553,PA_0477,267b rue de Paris,False,True
48.852616,2.281438,PA_0478,pont du Rouelle,False,True
48.85587,2.359774,PA_0480,14 rue du Roi de Sicile,False,True
48.844974,2.332482,PA_0481,sous la plaque de rue du coin du parc,False,True
48.863924,2.352013,PA_0483,7 rue du Bourg l'AbbÃ©,False,True
48.878388,2.323006,PA_0484,24 rue de Vienne,True,True
48.870264,2.289909,PA_0485,15 rue Paul ValÃ©rie,False,True
48.852909,2.31909,PA_0486,26 rue Vaneau,False,True
48.83484,2.40039,PA_0488,79 rue de Wattignies,False,True
48.874111,2.385594,PA_0489,1 rue Clavel,False,True
48.899579,2.391981,PA_0490,10 rue du Chemin de Fer,False,True
48.87388,2.39531,PA_0492,36 rue du Soleil,False,True
48.86124,2.3435,PA_0493,87 rue Saint-HonorÃ©,False,True
48.841328,2.325149,PA_0494,41 rue Delambre,True,True
48.844497,2.352557,PA_0495,17 rue de Navarre,True,True
48.868789,2.356291,PA_0496,51 boulevard Saint-Martin,False,True
49.006762,2.528152,PA_0497,sortie routiÃ¨re de Roissy-Charles-de-Gaulle,False,True
48.880778,2.33573,PA_0498,64 rue de la Rochefoucauld,False,True
48.877519,2.365507,PA_0499,pont EugÃ¨ne-Varlin,False,True
48.866361,2.364673,PA_0501,au pied des escaliers du boulevard du Temple,True,True
48.840414,2.353,PA_0502,29 rue Censier,True,True
